replicate_id,local_mean_dir_f1,federated_consensus_dir_f1,federated_naive_dir_f1,n_sepset_pairs_retained,note
0,0.13002070119119208,0.09523809206349215,0.0,100,"If local_mean_dir_f1 > federated_consensus_dir_f1, the orientation gap is NOT attributable to sample fragmentation alone -- the cross-client Sepset-aggregation retention threshold is a candidate mechanism and must be checked before attributing the gap to small per-client sample size."
1,0.021052631180055403,0.0,0.0,100,"If local_mean_dir_f1 > federated_consensus_dir_f1, the orientation gap is NOT attributable to sample fragmentation alone -- the cross-client Sepset-aggregation retention threshold is a candidate mechanism and must be checked before attributing the gap to small per-client sample size."
2,0.05844393421149212,0.10526315590027702,0.0,98,"If local_mean_dir_f1 > federated_consensus_dir_f1, the orientation gap is NOT attributable to sample fragmentation alone -- the cross-client Sepset-aggregation retention threshold is a candidate mechanism and must be checked before attributing the gap to small per-client sample size."
3,0.10133971047297616,0.0,0.0,98,"If local_mean_dir_f1 > federated_consensus_dir_f1, the orientation gap is NOT attributable to sample fragmentation alone -- the cross-client Sepset-aggregation retention threshold is a candidate mechanism and must be checked before attributing the gap to small per-client sample size."
4,0.07914786809223229,0.10526315590027702,0.0,98,"If local_mean_dir_f1 > federated_consensus_dir_f1, the orientation gap is NOT attributable to sample fragmentation alone -- the cross-client Sepset-aggregation retention threshold is a candidate mechanism and must be checked before attributing the gap to small per-client sample size."
5,0.0,0.10526315590027702,0.0,98,"If local_mean_dir_f1 > federated_consensus_dir_f1, the orientation gap is NOT attributable to sample fragmentation alone -- the cross-client Sepset-aggregation retention threshold is a candidate mechanism and must be checked before attributing the gap to small per-client sample size."
6,0.04210526236011081,0.0,0.0,100,"If local_mean_dir_f1 > federated_consensus_dir_f1, the orientation gap is NOT attributable to sample fragmentation alone -- the cross-client Sepset-aggregation retention threshold is a candidate mechanism and must be checked before attributing the gap to small per-client sample size."
7,0.058095236912176884,0.10526315590027702,0.0,100,"If local_mean_dir_f1 > federated_consensus_dir_f1, the orientation gap is NOT attributable to sample fragmentation alone -- the cross-client Sepset-aggregation retention threshold is a candidate mechanism and must be checked before attributing the gap to small per-client sample size."
8,0.021052631180055403,0.10526315590027702,0.0,100,"If local_mean_dir_f1 > federated_consensus_dir_f1, the orientation gap is NOT attributable to sample fragmentation alone -- the cross-client Sepset-aggregation retention threshold is a candidate mechanism and must be checked before attributing the gap to small per-client sample size."
9,0.09593548866694915,0.0,0.0,98,"If local_mean_dir_f1 > federated_consensus_dir_f1, the orientation gap is NOT attributable to sample fragmentation alone -- the cross-client Sepset-aggregation retention threshold is a candidate mechanism and must be checked before attributing the gap to small per-client sample size."
